id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P1-001,part1,事業種別・許可,basic,一般乗合旅客自動車運送事業（路線バス等）を経営しようとする者は、国土交通大臣の「許可」を受けなければならない。,○,正解！バスやタクシーなどの旅客事業を始めるには、最も厳しい「許可」が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-002,part1,運行管理者・選任届出,basic,事業者は、運行管理者を選任したときは、遅滞なくその旨を国土交通大臣に「許可」を受けなければならない。,×,不正解！選任・解任に関しては、許可ではなく「届出（遅滞なく）」で済みます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-003,part1,過労運転防止・勤務計画,basic,運行管理者は、事業用自動車の運転者が長距離運転や夜間の運転に従事する場合、過労運転を防止するため、交替運転者の配置など必要な措置を講じなければならない。,○,正解！運行管理者の重要な基本的業務の一つです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-004,part1,点呼・実施方法,basic,乗務前の点呼は、原則として対面で行わなければならないが、運行上やむを得ない場合は電話その他の方法で行うことができる。,○,正解！遠隔地での乗務開始・終了など、どうしても対面できない物理的な事情がある場合に限り認められます（単に車庫が離れているだけでは認められません）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-005,part1,点呼・アルコールチェック,basic,アルコール検知器による測定は、運転者の顔色や呼気に酒気帯びの様子がないと認められる場合は省略してもよい。,×,絶対に不正解！目視で大丈夫そうに見えても、必ずアルコール検知器を使用しなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-006,part1,運転者指導・適性診断,basic,事業者は、新たに雇い入れた運転者に対して、事故防止などの特別な指導を行うとともに、適性診断（初任診断）を受けさせなければならない。,○,正解！初任運転者には特別な教育と診断が義務付けられています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-007,part1,事業計画変更・届出,basic,事業計画の変更のうち、営業所の「名称」変更などの軽微な事項については、事後に届け出ればよい。,○,正解！名称変更は事後届出でOKですが、営業所の「位置（所在地）」の変更は原則として「認可」が必要ですので注意が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-008,part1,貸切バス・運行指示書,basic,運行指示書は、貸切バスなどの運行経路が特定されている運行において、乗務前・乗務後いずれかの点呼の際に運転者に携行させればよい。,×,不正解！運行指示書は「乗務前」から「乗務終了」まで携行させ、運行内容に変更があればその都度書き写させなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-009,part1,事故報告・速報,basic,事業者は、死者を生じた事故や、5人以上の重傷者を生じた事故が発生した場合、24時間以内に事故報告（速報）をしなければならない。,○,正解！重大事故は「速報（24時間以内）」の対象です。なお、転覆・転落・火災などの事故も速報の対象となります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-010,part1,運賃・認可,basic,一般乗合旅客自動車運送事業（路線バス）の運賃及び料金を設定しようとするときは、原則として国土交通大臣の「認可」を受けなければならない。,○,正解！路線バスやタクシーの運賃は、利用者の利益保護のため「認可制」が基本です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-011,part1,運行管理者資格,basic,運行管理者の資格者証を持っていない者でも、10年以上の実務経験があれば運行管理者に選任できる。,×,不正解！実務経験だけでは選任できません。必ず試験に合格するなどして「資格者証」を取得する必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-012,part1,事業種別・貸切,basic,「一般貸切旅客自動車運送事業」とは、一個の契約により乗車定員11人以上の自動車を貸し切って旅客を運送する事業（観光バス等）である。,○,正解！定員11人以上がバス（貸切バス）の定義の一つです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-013,part1,健康管理・乗務可否,basic,事業者は、乗務員の健康状態の把握に努め、疾病、疲労、睡眠不足などの理由により安全な運転ができないおそれがある乗務員を乗務させてはならない。,○,正解！「睡眠不足」も乗務禁止の理由として法令に明記されています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-014,part1,貸切バス・記録保存,basic,貸切バス事業者は、点呼の記録を「3年間」保存しなければならない。,○,正解！貸切バスは安全規制の強化（軽井沢スキーバス事故等を受けて）により、保存期間が1年から3年に延長されています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-015,part1,点呼・アルコールチェック,basic,アルコール検知器は、常時有効に保持しなければならない。,○,正解！故障していないか、定期的に点検・メンテナンスしておく義務があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-016,part1,点呼・乗務後確認,basic,乗務後点呼では、「自動車、道路及び運行の状況」のほか、「乗務交代時の通告」についても報告を求めなければならない。,○,正解！他の運転者と交替した場合、何を引き継いだかも確認事項です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-017,part1,統括運行管理者,basic,複数の営業所でそれぞれ運行管理者を選任している場合、これらを統括する「統括運行管理者」を選任しなければならない。,○,正解！事業全体の安全確保の整合性を図るためです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-018,part1,安全管理・権限付与,basic,事業者は、運行管理者がその業務を行うため必要な権限を与えなければならない。,○,正解！責任を負わせるだけでなく、業務遂行に必要な権限の付与が義務付けられています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-019,part1,事故報告・対象事故,basic,バスの乗降口の扉を閉める際、運転者の操作が不適切であったことにより乗客に傷害（医師の治療を受けた）が生じた場合、事故報告書の提出が必要である。,○,正解！扉の挟み込み事故などは、たとえ軽傷であっても、原因が不適切な操作にある場合は報告義務の対象となります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-020,part1,貸切バス・運転時間,basic,運転者が一人の場合、貸切バスの運転時間は、「2日を平均して1日当たり9時間」を超えてはならない。,○,正解！改善基準告示により、特定の日を起算日に2日ごとに区切り、その平均が9時間を超えないようにします。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-021,part1,安全管理・予算措置,basic,事業者は、輸送の安全を確保するために必要な金額を予算に計上するなどの措置を講じなければならない。,○,正解！安全投資は法的義務です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-022,part1,事業種別・乗用,basic,「一般乗用旅客自動車運送事業」とは、いわゆるタクシーやハイヤー事業のことである。,○,正解！一個の契約により乗車定員10人以下の自動車を貸し切る形態です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-023,part1,点呼・健康確認,basic,乗務前点呼において、疾病、疲労、睡眠不足などの状況を確認することは、運転者本人からの申告があれば省略できる。,×,不正解！本人の申告だけでなく、運行管理者が目視等で客観的に確認しなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-024,part1,点呼・実施方法,basic,運転者が乗務を終了した後、車庫以外の場所で乗務を終了し、対面点呼ができない場合は、電話点呼を省略できる。,×,不正解！対面できない場合は「電話その他」の方法で必ず点呼を行わなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-025,part1,運転者指導・事故惹起者,basic,事業者は、事故惹起運転者（事故を起こした運転者）に対し、再度乗務させる前に特別な指導を行わなければならない。,○,正解！特定診断の受診や特別指導が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-026,part1,貸切バス・記録保存,basic,貸切バス事業者は、運送の引受けに際し、運送申込書（引受書）の写しを運行終了後「3年間」保存しなければならない。,○,正解！貸切バス事業者の書類保存期間は、1年ではなく「3年」に厳格化されています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-027,part1,安全管理規程,basic,事業者は、安全管理規程を定めたときは、国土交通大臣に「届出」をしなければならない。,○,正解！許可ではなく届出事項です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-028,part1,運行管理補助者,basic,運行管理者の補助者は、点呼の一部を行うことができるが、点呼の総回数の「3分の2未満」でなければならない。,○,正解！補助者がすべて行うことはできません。運行管理者が最低でも1/3は行う必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-029,part1,名義貸し禁止,basic,名義貸しの禁止規定に違反した場合、事業許可の取消し処分の対象となる。,○,正解！名義貸しは重大な違反であり、許可取消しの対象となります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-030,part1,異常気象時対応,basic,運行管理者は、異常気象などで輸送の安全確保に支障が生ずるおそれがあるときは、乗務員に対する指示や、一時運行の中断などの措置を講じなければならない。,○,正解！無理な運行をさせない判断が求められます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-031,part1,運送引受義務,basic,旅客自動車運送事業者は、天災その他やむを得ない事由がある場合を除き、運送の引受けを拒絶してはならない。,○,正解！公共交通機関としての「引受義務」があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-032,part1,運送引受拒絶,basic,泥酔した者や不潔な服装をした者など、他の旅客に迷惑を及ぼすおそれがある者からの運送の申込みは、拒絶することができる。,○,正解！正当な理由として、運送約款等で拒絶できる規定があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-033,part1,掲示義務・約款,basic,事業者は、運賃及び料金、運送約款などを、営業所などの公衆に見やすい場所に掲示しなければならない。,○,正解！利用者への情報開示義務です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-034,part1,運行管理者業務,basic,事業用自動車の運転者が、有効な運転免許証を携帯しているかどうかの確認は、運行管理者の業務に含まれる。,○,正解！点呼時に免許証の提示を求め、有効期限や条件（眼鏡等）を確認します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-035,part1,事業種別・特定旅客,basic,「特定旅客自動車運送事業」とは、特定の者の需要に応じ、特定の範囲の旅客を運送する事業（企業の送迎バスなど）である。,○,正解！不特定多数ではなく、契約した特定の相手（従業員や学生など）のみを運びます。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-036,part1,運行管理補助者,basic,運行管理補助者に選任されるには、基礎講習を修了しているか、または「3年」以上の実務経験が必要である。,×,不正解！実務経験などの要件はなく、基礎講習修了等の要件を満たす必要があります。（※旅客・貨物ともに補助者の要件に実務経験のみの規定はありません）,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-037,part1,運行管理者代務者,basic,事業者は、運行管理者が病気などで不在の場合、あらかじめ届け出た代務者（資格者証を有する者）に業務を行わせることができる。,○,正解！不在時に備えて代務者を選任・届出しておくシステムがあります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-038,part1,貸切バス・交替運転者,basic,貸切バスの事業者は、運送の安全を確保するため、出発地から到着地までの距離が所定のキロ数を超える場合、交替運転者を配置しなければならない。,○,正解！昼間500km、夜間400km（条件により変動）などの基準があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-039,part1,貸切バス・運行指示書,basic,運行指示書には、「運行の経路」、「運行の日時」、「運転者の氏名」などを記載しなければならない。,○,正解！これらに加え、休憩地点や到着予定時刻なども必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-040,part1,点呼・アルコールチェック,basic,乗務前点呼におけるアルコール検知器の使用は、前日に飲酒していないと運転者が申告した場合は省略できる。,×,不正解！本人の申告に関わらず、毎回必ず実施しなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P1-041,part1,事故報告・速報方法,basic,重大な事故が発生した場合の「速報」は、電話、FAX、電子メールその他適切な方法で行うことができる。,○,正解！まずは一報を入れることが重要だからです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
