id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P2-001,part2,車検・検査証,basic,自動車検査証の有効期間が満了した自動車は、道路を運行してはならない。,○,正解！車検切れの運行は絶対禁止です（無車検運行）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-002,part2,日常点検・実施者,basic,事業用自動車の日常点検は、運行管理者が自ら行わなければならない。,×,不正解！日常点検の実施義務者は「自動車の使用者」または「運行する者（運転者）」です。運行管理者はその実施を管理・確認する立場です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-003,part2,定期点検基準,basic,旅客自動車運送事業の用に供する自動車（バス・タクシー等）の定期点検基準は、「3ヶ月」ごとである。,○,正解！自家用乗用車は1年ごとですが、事業用（緑ナンバー）は走行距離が長いため3ヶ月ごとの点検が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-004,part2,保安装置・消火器,basic,乗車定員11人以上の自動車（バス）には、非常信号用具に加え、「消火器」を備えなければならない。,○,正解！旅客特有の規定です。幼児専用車も対象です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-005,part2,日常点検・記録,basic,日常点検の結果、運行に支障がない場合でも、その結果を点検整備記録簿に記録し、1年間保存する法的な義務がある。,×,不正解！法令上、1年間の保存義務が明記されているのは「定期点検」の記録です。日常点検の記録は社内規定で保存されることが多いですが、法令上の保存期間規定とは異なります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-006,part2,車検・検査証,basic,自動車検査証は、コピーを車内に備え付けておけば、原本は営業所で保管してもよい。,×,不正解！運行時は必ず「原本」を当該自動車に備え付けなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-007,part2,非常口・保安基準,basic,乗車定員30人以上のバスには、非常口を設置しなければならない（所定の基準を満たす場合を除く）。,○,正解！万が一の事故火災などに備え、脱出用の非常口や非常扉が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-008,part2,整備管理者,basic,整備管理者は、自動車の点検・整備に関する実務経験が「2年以上」あれば、整備士資格がなくても選任できる（研修修了等の要件あり）。,○,正解！整備士資格がある場合は実務経験不要ですが、ない場合は2年の経験＋研修が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-009,part2,定期点検記録簿,basic,定期点検整備記録簿は、その記載の日から「1年間」保存しなければならない。,○,正解！3ヶ月点検などの記録は1年間保存です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-010,part2,タイヤ・保安基準,basic,タイヤの溝の深さは、ウェアインジケーター（スリップサイン）により確認し、溝の深さが「1.6mm」以上残っていなければならない。,○,正解！これは乗用車・バス・トラック共通の基準です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-011,part2,速度抑制装置,basic,車両総重量8トン以上又は最大積載量5トン以上の「貨物自動車」には、最高速度を90km/h以下に制限する速度抑制装置の装着が義務付けられている。,○,正解！これはトラック（貨物）に対する規制です。バスの速度抑制装置とは基準が異なりますので混同しないようにしましょう。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-012,part2,登録番号標,basic,自動車登録番号標（ナンバープレート）にカバーを取り付けたり、泥などで見えにくくなっている状態で運行することは禁止されている。,○,正解！番号が識別できるよう、常に見やすい状態にしておく必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-013,part2,日常点検項目,basic,日常点検において、ウィンド・ウォッシャー液の量やワイパーの作動状態を確認することは義務付けられていない。,×,不正解！雨天時の視界確保のため、これらも日常点検の必須項目です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-014,part2,構造等変更検査,basic,自動車の長さ、幅、高さに変更が生じた場合、15日以内に「構造等変更検査」を受けなければならない。,○,正解！改造等でサイズが変わった場合は検査が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-015,part2,車内設備,basic,バスの車内灯（室内灯）は、夜間、旅客の乗降口や通路を十分に照明できるものでなければならない。,○,正解！旅客の安全確保のための保安基準です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-016,part2,継続検査,basic,車検の有効期間の更新（継続検査）は、有効期間満了の「2ヶ月前」から検査を受けることができる。,○,正解！法改正により、以前の1ヶ月前から「2ヶ月前」に期間が拡大されました。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-017,part2,日常点検項目,basic,スペアタイヤの空気圧確認は、日常点検の項目に含まれる。,×,不正解！スペアタイヤは「定期点検（3ヶ月点検）」の項目です。毎日の点検では必須ではありません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-018,part2,灯火類・保安基準,basic,自動車の灯火類（ヘッドライト、ブレーキランプ等）の色は保安基準で定められており、装飾のために自由に変更してはならない。,○,正解！制動灯は赤、方向指示器は橙色など決まっています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-019,part2,非常口表示,basic,非常口の表示灯（非常口マーク）は、夜間でも識別できるよう照明するか、反射材を使用しなければならない。,○,正解！暗闇でも位置がわかるようにする必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-020,part2,変更登録,basic,自動車の使用者は、使用の本拠の位置に変更があった場合、15日以内に変更登録の申請をしなければならない。,○,正解！営業所の移転などで車庫が変わる場合が該当します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-021,part2,非常信号用具,basic,非常信号用具（発炎筒）は、使用期限が切れていても、車載されていれば車検には通る。,×,不正解！性能を保持している（期限内の）ものでなければなりません。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-022,part2,整備管理者,basic,整備管理者は、定期点検の実施計画を策定する権限を持つが、運行可否の決定権は持たない。,×,不正解！整備管理者は整備不良車の「運行の可否を決定する」重要な権限を持っています。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-023,part2,車検有効期間,basic,事業用自動車の車検有効期間は、新車登録時は2年（一部除く）、それ以降は「1年」である。,○,正解！バスやタクシーは毎年車検が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-024,part2,タイヤ・ナット点検,basic,ホイール・ナットの緩みの確認において、日常点検では点検ハンマー等を使う必要はなく、目視等での確認でよい。,○,正解！ハンマーを使う詳細な点検は「3ヶ月点検」の項目です。日常点検は目視確認でOKです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-025,part2,記入申請,basic,自動車検査証の記載事項（使用者、住所等）に変更があったときは、15日以内に「記入申請」を行わなければならない。,○,正解！車検証の内容を最新の状態にする手続きです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-026,part2,故障時対応,basic,運行中にエンジンの異音などの異常を認めた場合、運転者は帰庫してから整備管理者に報告すればよい。,×,不正解！直ちに安全な場所に停止し、適切な処置をとるか、運行管理者等に連絡して指示を仰ぐ必要があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-027,part2,停止表示器材,basic,高速道路等で故障停止したときは、停止表示器材（三角表示板等）により後続車に対して表示しなければならない。,○,正解！「積んでいればよい」ではなく、緊急時に「表示する義務」があります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-028,part2,通路幅・保安基準,basic,バスの通路の幅は、保安基準により一定以上の幅（例：30cm以上等）が確保されていなければならない。,○,正解！スムーズな乗降や非常時の脱出のためです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-029,part2,タイヤ空気圧,basic,タイヤの空気圧点検は、走行直後のタイヤが温まっている状態で行うのが望ましい。,×,不正解！走行後は熱膨張で空気圧が高くなるため、走行前（冷えている時）に測定します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P2-030,part2,消火器・配置,basic,乗合バスの運転者席には、消火器を備え付けなければならないが、客席には必要ない。,×,不正解！消火器の設置場所は、運転者等が容易に取り出せる位置であれば良いですが、定員に応じた適切な能力・本数が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
